Date,Price,DayOnDayPriceDiff,PricesCumDiff,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time,ProductKeyword
2023-02-20,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-20', 'Price': 104.99}",meat
2023-02-21,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-21', 'Price': 104.99}",meat
2023-02-22,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-22', 'Price': 104.99}",meat
2023-02-23,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-23', 'Price': 104.99}",meat
2023-02-24,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-24', 'Price': 104.99}",meat
2023-02-25,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-25', 'Price': 104.99}",meat
2023-02-26,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-26', 'Price': 104.99}",meat
2023-02-27,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-27', 'Price': 104.99}",meat
2023-02-28,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-02-28', 'Price': 104.99}",meat
2023-03-01,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-01', 'Price': 104.99}",meat
2023-03-02,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-02', 'Price': 104.99}",meat
2023-03-03,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-03', 'Price': 104.99}",meat
2023-03-04,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-04', 'Price': 104.99}",meat
2023-03-05,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-05', 'Price': 104.99}",meat
2023-03-06,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-06', 'Price': 104.99}",meat
2023-03-07,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-07', 'Price': 104.99}",meat
2023-03-08,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-08', 'Price': 104.99}",meat
2023-03-09,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-09', 'Price': 104.99}",meat
2023-03-10,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-10', 'Price': 104.99}",meat
2023-03-11,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-11', 'Price': 104.99}",meat
2023-03-20,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-20', 'Price': 104.99}",meat
2023-03-21,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-21', 'Price': 104.99}",meat
2023-03-22,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-22', 'Price': 104.99}",meat
2023-03-23,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-23', 'Price': 104.99}",meat
2023-03-24,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-24', 'Price': 104.99}",meat
2023-03-25,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-25', 'Price': 104.99}",meat
2023-03-26,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-26', 'Price': 104.99}",meat
2023-03-27,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-27', 'Price': 104.99}",meat
2023-03-28,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-28', 'Price': 104.99}",meat
2023-03-29,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-29', 'Price': 104.99}",meat
2023-03-30,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-30', 'Price': 104.99}",meat
2023-03-31,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-03-31', 'Price': 104.99}",meat
2023-04-01,104.99,0.0,0.0,PnP Chicken Viennas 1kg,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Deli-%26-Party/Prepared-Meats/PnP-Chicken-Viennas-1kg/p/000000000000531653_EA,"{'Date': '2023-04-01', 'Price': 104.99}",meat
2022-12-01,89.99,,,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-01', 'Price': 89.99}",meat
2022-12-02,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-02', 'Price': 89.99}",meat
2022-12-03,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-03', 'Price': 89.99}",meat
2022-12-04,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-04', 'Price': 89.99}",meat
2022-12-05,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-05', 'Price': 89.99}",meat
2022-12-06,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-06', 'Price': 89.99}",meat
2022-12-07,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-07', 'Price': 89.99}",meat
2022-12-08,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-08', 'Price': 89.99}",meat
2022-12-09,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-09', 'Price': 89.99}",meat
2022-12-10,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-10', 'Price': 89.99}",meat
2022-12-11,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-11', 'Price': 89.99}",meat
2022-12-12,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-12', 'Price': 89.99}",meat
2022-12-13,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-13', 'Price': 89.99}",meat
2022-12-14,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-14', 'Price': 89.99}",meat
2022-12-15,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-15', 'Price': 89.99}",meat
2022-12-16,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-16', 'Price': 89.99}",meat
2022-12-17,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-17', 'Price': 89.99}",meat
2022-12-18,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-18', 'Price': 89.99}",meat
2022-12-19,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-19', 'Price': 89.99}",meat
2022-12-20,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-20', 'Price': 89.99}",meat
2022-12-21,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-21', 'Price': 89.99}",meat
2022-12-22,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-22', 'Price': 89.99}",meat
2022-12-23,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-23', 'Price': 89.99}",meat
2022-12-24,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-24', 'Price': 89.99}",meat
2022-12-25,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-25', 'Price': 89.99}",meat
2022-12-26,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-26', 'Price': 89.99}",meat
2022-12-27,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-27', 'Price': 89.99}",meat
2022-12-28,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-28', 'Price': 89.99}",meat
2022-12-29,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-29', 'Price': 89.99}",meat
2022-12-30,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-30', 'Price': 89.99}",meat
2022-12-31,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2022-12-31', 'Price': 89.99}",meat
2023-01-01,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-01', 'Price': 89.99}",meat
2023-01-02,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-02', 'Price': 89.99}",meat
2023-01-03,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-03', 'Price': 89.99}",meat
2023-01-04,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-04', 'Price': 89.99}",meat
2023-01-05,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-05', 'Price': 89.99}",meat
2023-01-06,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-06', 'Price': 89.99}",meat
2023-01-07,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-07', 'Price': 89.99}",meat
2023-01-08,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-08', 'Price': 89.99}",meat
2023-01-09,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-09', 'Price': 89.99}",meat
2023-01-10,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-10', 'Price': 89.99}",meat
2023-01-11,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-11', 'Price': 89.99}",meat
2023-01-12,89.99,0.0,0.0,I&J Beefers Beef Patties 800g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Frozen-Food/Frozen-Meat/Meat/I%26J-Beefers-Beef-Patties-800g/p/000000000000218119_EA,"{'Date': '2023-01-12', 'Price': 89.99}",meat
